Browse	Prehľadávať
External application has been terminated.	Externá aplikácia bola ukončená.
DDE connection interrupted or modified.	Spojenie DDE prerušené alebo zmenené.
DDE method invoked with no channel open.	Bola vyvolaná DDE metóda bez otvoreného kanálu.
Invalid DDE link format.	Neplatný formát odkazu DDE.
DDE message has been lost.	DDE správa sa stratila.
Paste link already performed.	Vloženie odkazu už vykonané.
Link mode cannot be set due to invalid link topic.	Odkazový mód nemôže byť nastavený kvôli neplatnej téme odkazu.
DDE requires the DDEML.DLL file.	DDE vyžaduje súbor DDEML.DLL.
Module cannot be loaded; invalid format.	Modul nemôže byť čítaný; nesprávny formát.
Invalid object index.	Neplatný index objektu.
Object is not available.	Objekt je nedostupný.
Incorrect property value.	Neznáma hodnota vlastnosti.
This property is read-only.	Táto vlastnosť je iba na čítanie.
This property is write only.	Táto vlastnosť je iba na zápis.
Invalid object reference.	Neplatný odkaz na objekt.
Property or method not found: $(ARG1).	Vlastnosť alebo metóda nenájdená: $(ARG1).
Object required.	Požadovaný objekt.
Invalid use of an object.	Neplatné použitie objektu.
OLE Automation is not supported by this object.	OLE Automation nie je týmto objektom podporovaná.
This property or method is not supported by the object.	Táto vlastnosť alebo metóda nie je objektom podporovaná.
OLE Automation Error.	Chyba OLE Automation.
This action is not supported by given object.	Táto činnosť nie je zvoleným objektom podporovaná.
Named arguments are not supported by given object.	Uvedené argumenty nie sú podporované zvoleným objektom.
The current locale setting is not supported by the given object.	Súčasné národné nastavenie nie je zvoleným objektom podporované.
Named argument not found.	Pomenovaný argument nebol nájdený.
Argument is not optional.	Argument nie je voliteľný.
Invalid number of arguments.	Neplatný počet argumentov.
Object is not a list.	Objekt nie je zoznamom.
Invalid ordinal number.	Neplatné poradové číslo.
Specified DLL function not found.	Daná funkcia DLL nenájdená.
Invalid clipboard format.	Neplatný formát schránky.
Object does not have this property.	Objekt nemá túto vlastnosť.
Object does not have this method.	Objekt nemá túto metódu.
Required argument lacking.	Chýba požadovaný argument.
Error executing a method.	Chyba pri vykonaní metódy.
Unable to set property.	Nie je možné nastaviť vlastnosť.
Unable to determine property.	Nie je možné určiť vlastnosť.
Unexpected symbol: $(ARG1).	Neočakávaný symbol: $(ARG1).
Expected: $(ARG1).	Očakáva sa: $(ARG1).
Symbol expected.	Očakávaný symbol.
Variable expected.	Očakávaná premenná.
Label expected.	Očakávané návestie.
Value cannot be applied.	Hodnotu nie je možné použiť.
Variable $(ARG1) already defined.	Premenná $(ARG1) je už definovaná.
Sub procedure or function procedure $(ARG1) already defined.	Subprocedúra alebo funkčná procedúra $(ARG1) je už definovaná.
Label $(ARG1) already defined.	Návestie $(ARG1) je už definované.
Variable $(ARG1) not found.	Premenná $(ARG1) nenájdená.
Array or procedure $(ARG1) not found.	Pole alebo procedúra $(ARG1) nenájdená.
Procedure $(ARG1) not found.	Procedúra $(ARG1) nenájdená.
Label $(ARG1) undefined.	Návestie $(ARG1) nedefinované.
Unknown data type $(ARG1).	Neznámy dátový typ $(ARG1).
Exit $(ARG1) expected.	Očakávané ukončenie $(ARG1).
Statement block still open: $(ARG1) missing.	Blok príkazov je stále otvorený: chýba $(ARG1).
Parentheses do not match.	Zátvorky nesúhlasia.
Symbol $(ARG1) already defined differently.	Symbol $(ARG1) už bol definovaný ináč.
Parameters do not correspond to procedure.	Parametre nesúhlasia s procedúrou.
Invalid character in number.	Neplatný znak v čísle.
Array must be dimensioned.	Pole musí mať rozmer.
Else/Endif without If.	Else/Endif bez If.
$(ARG1) not allowed within a procedure.	$(ARG1) nie je povolený v tejto procedúre.
$(ARG1) not allowed outside a procedure.	$(ARG1) nie je dovolený mimo procedúry.
Dimension specifications do not match.	Nesúhlasí zadanie rozmerov poľa.
Unknown option: $(ARG1).	Neznáma voľba: $(ARG1).
Constant $(ARG1) redefined.	Konštanta $(ARG1) predefinovaná.
Program too large.	Program je príliš veľký.
Strings or arrays not permitted.	Reťazce alebo polia nie sú povolené.
An exception occurred $(ARG1).	Vyskytla sa výnimka $(ARG1).
This array is fixed or temporarily locked.	Toto pole je pevné alebo dočasne zamknuté.
Out of string space.	Nedostatok pamäte pre reťazce.
Expression Too Complex.	Výraz je príliš zložitý.
Can't perform requested operation.	Nemôžem vykonať požadovanú operáciu.
Too many DLL application clients.	Príliš veľa klientov DLL aplikácie.
For loop not initialized.	Neinicializované pre opakovanie.
$(ARG1)	$(ARG1)
On	Zapnúť
Off	Vypnúť
True	Pravda
False	Nepravda
@0.00 $;@(0.00 $)	@0.00 $;@(0.00 $)
The macro running has been interrupted	Bežiace makro bolo prerušené
Bar	Kváder
Cylinder	Valec
Cone	Kužeľ
Pyramid	Ihlan
Chart Wizard	Sprievodca grafom
Smooth Lines	Hladké spojnice
Stepped Lines	Stupňové spojnice
Chart Type	Typ grafu
Data Range	Dátová oblasť
Chart Elements	Prvky grafu
Line	Čiarový
Borders	Orámovanie
Area	Oblasť
Transparency	Priehľadnosť
Font	Písmo
Font Effects	Efekty pre písmo
Numbers	Čísla
Layout	Rozloženie
Scale	Mierka
Positioning	Umiestňovanie
X Error Bars	Chybové úsečky X
Y Error Bars	Chybové úsečky Y
Alignment	Zarovnanie
Perspective	Perspektíva
Appearance	Vzhľad
Illumination	Osvetlenie
Asian Typography	Ázijská typografia
Mean value line with value %AVERAGEVALUE and standard deviation %STDDEVIATION	Stredná hodnota s hodnotou %AVERAGEVALUE a štandardnou odchýlkou %STDDEVIATION
Axis	Os
X Axis	Os X
Y Axis	Os Y
Z Axis	Os Z
Secondary X Axis	Sekundárna os X
Secondary Y Axis	Sekundárna os Y
Axes	Osi
Grids	Mriežky
Grid	Mriežka
X Axis Major Grid	Hlavná mriežka osi X
Y Axis Major Grid	Hlavná mriežka osi Y
Z Axis Major Grid	Hlavná mriežka osi Z
X Axis Minor Grid	Vedľajšia mriežka osi X
Y Axis Minor Grid	Vedľajšia mriežka osi Y
Z Axis Minor Grid	Vedľajšia mriežka osi Z
Legend	Legenda
Title	Názov
Titles	Názvy
Main Title	Hlavný názov
Subtitle	Podnadpis
X Axis Title	Názov osi X
Y Axis Title	Názov osi Y
Z Axis Title	Názov osi Z
Secondary X Axis Title	Názov sekundárnej osi X
Secondary Y Axis Title	Názov sekundárnej osi Y
Label	Popis
Data Labels	Popisy dát
Data Point	Dátový bod
Data Points	Dátové body
Legend Key	Kľúč legendy
Data Series	Dátový rad
Trend Line	Regresná krivka
Trend Lines	Regresné krivky
Trend line %FORMULA with accuracy R² = %RSQUARED	Regresná krivka %FORMULA s presnosťou R² = %RSQUARED
Moving average trend line with period = %PERIOD	Regresná krivka kĺzavého priemeru s periódou = %PERIOD
Mean Value Line	Priamka strednej hodnoty
Equation	Rovnica
Z Error Bars	Chybové úsečky Z
Stock Loss	Burzová strata
Stock Gain	Burzový zisk
Chart Area	Plocha grafu
Chart	Graf
Chart Wall	Zadná stena grafu
Chart Floor	Podstava grafu
Drawing Object	Objekt kresby
Data Series '%SERIESNAME'	Dátový rad '%SERIESNAME'
Data Point %POINTNUMBER	Dátový bod %POINTNUMBER
Values: %POINTVALUES	Hodnoty: %POINTVALUES
Data Point %POINTNUMBER, data series %SERIESNUMBER, values: %POINTVALUES	Dátový bod %POINTNUMBER, dátový rad %SERIESNUMBER, hodnoty: %POINTVALUES
Data point %POINTNUMBER in data series %SERIESNUMBER selected, values: %POINTVALUES	Vybraný dátový bod %POINTNUMBER v dátovom rade %SERIESNUMBER, hodnoty: %POINTVALUES
%OBJECTNAME selected	Vybraný %OBJECTNAME
Pie exploded by %PERCENTVALUE percent	Kruhový graf rozložený o veľkosť o %PERCENTVALUE percent
%OBJECTNAME for Data Series '%SERIESNAME'	%OBJECTNAME pre dátový rad '%SERIESNAME'
%OBJECTNAME for all Data Series	%OBJECTNAME pre všetky dátové rady
Edit chart type	Upraviť typ grafu
Edit data ranges	Upraviť dátové oblasti
Edit 3D view	Upraviť 3D zobrazenie
Edit chart data	Upraviť dáta grafu
Legend on/off	Legenda zap/vyp
Horizontal grid major/major&minor/off	Vodorovná mriežka hlavná/ hlavná a vedľajšia / vyp
Vertical grid major/major&minor/off	Zvislá mriežka hlavná/hlavná a vedľajšia/vyp
Scale Text	Škálovať text
Automatic Layout	Automatické rozloženie
This function cannot be completed with the selected objects.	Táto funkcia nemôže byť dokončená s vybranými objektami.
Edit text	Upraviť text
Name	Meno
X-Values	X-Hodnoty
Y-Values	Y-Hodnoty
Bubble Sizes	Veľkosť bublín
X-Error-Bars	Chybové úsečky X
Positive X-Error-Bars	Kladné chybové úsečky X
Negative X-Error-Bars	Záporné chybové úsečky X
Y-Error-Bars	Chybové úsečky Y
Positive Y-Error-Bars	Kladné chybové úsečky Y
Negative Y-Error-Bars	Záporné chybové úsečky Y
Open Values	Otvorené hodnoty
Close Values	Zatvorené hodnoty
Low Values	Najnižšie hodnoty
High Values	Najvyššie hodnoty
Categories	Kategórie
Series	Postupnosť
Series%NUMBER	Postupnosť%NUMBER
Select Range for %VALUETYPE of %SERIESNAME	Vyberte oblasť pre %VALUETYPE z %SERIESNAME
Select Range for Categories	Vyberať oblasť pre kategórie
Select Range for data labels	Vybrať oblasť pre popisy dát
Left-to-right	Zľava-doprava
Right-to-left	Sprava-doľava
Use superordinate object settings	Použiť nastavenia nadriadeného objektu
Fill Color	Farba výplne
Border Color	Farba orámovania
From Data Table	Z tabuľky dát
Linear	Lineárna
Logarithmic	Logaritmická
Exponential	Exponenciálna
Power	Mocnina
Polynomial	Polynomická
Moving average	Kĺzavý priemer
Mean	Stredná hodnota
Column	Stĺpec
Bar	Pásový
Pie	Kruhový
Exploded Pie Chart	Rozložený kruhový
Exploded Donut Chart	Rozložený prstencový
Donut	Prstencový
XY (Scatter)	XY (bodový)
Points and Lines	Body a čiary
Points Only	Len body
Lines Only	Iba čiary
3D Lines	3D čiary
Column and Line	Stĺpec a riadok
Columns and Lines	Stĺpce a riadky
Stacked Columns and Lines	Kumulované stĺpce a riadky
Net	Sieť
Stock	Burzový graf
Stock Chart 1	Burzový graf 1
Stock Chart 2	Burzový graf 2
Stock Chart 3	Burzový graf 3
Stock Chart 4	Burzový graf 4
Normal	Normálne
Stacked	Skladaný
Percent Stacked	Skladaný percentuálne
Deep	Priestorový
Filled	Vyplnené
Bubble	Bublina
Bubble Chart	Bublinový graf
Numbers are required. Check your input.	Sú požadované čísla. Skontrolujte vstupné dáta.
The major interval requires a positive number. Check your input.	Hlavný interval vyžaduje kladné číslo. Skontrolujte vstupné dáta.
The logarithmic scale requires positive numbers. Check your input.	Logaritmická stupnica vyžaduje kladné čísla. Skontrolujte vstupné dáta.
The minimum must be lower than the maximum. Check your input.	Minimum musí byť menšie ako maximum. Skontrolujte vstupné dáta.
The major interval needs to be greater than the minor interval. Check your input.	Hlavný interval musí byť väčší ako vedľajší interval. Skontrolujte vstupné dáta.
The major and minor interval need to be greater or equal to the resolution. Check your input.	Hlavný a vedľajší interval musia byť väčšie alebo rovné rozlíšeniu. Skontrolujte vstupné dáta.
3D View	3D zobrazenie
Character	Znak
Data Table	Tabuľka s dátami
Insert Row	Vložiť riadok
Inserts a new row below the current row.	Vloží nový riadok pod aktuálny riadok.
Insert Series	Vložiť rad
Inserts a new data series after the current column.	Vloží novú postupnosť za aktuálny stĺpec.
Insert Text Column	Vložiť textový stĺpec
Inserts a new text column after the current column for hierarchical axes descriptions.	Vloží nový textový stĺpec za aktuálny stĺpec pre hierarchický popis osí.
Delete Row	Odstrániť riadok
Deletes the current row. It is not possible to delete the label row.	Odstráni aktuálny riadok. Riadok hlavičky nie je možné odstrániť.
Delete Series	Odstrániť rady
Deletes the current series or text column. It is not possible to delete the first text column.	Odstráni aktuálnu postupnosť alebo textový stĺpec. Prvý textový stĺpec nie je možné odstrániť.
Move Series Left	Posunúť rad vľavo
Switches the current column with its neighbor at the left.	Zamení aktuálny stĺpec so stĺpcom vľavo.
Move Series Right	Posunúť rad vpravo
Switches the current column with its neighbor at the right.	Zamení aktuálny stĺpec so stĺpcom vpravo.
Move Row Up	Presunúť riadok nahor
Switches the current row with its neighbor above.	Zamení aktuálny riadok s riadkom nad ním.
Move Row Down	Presunúť riadok nadol
Switches the current row with its neighbor below.	Zamení aktuálny riadok s riadkom pod ním.
Opens the Data Table dialog where you can edit the chart data.	Otvorí dialógové okno Tabuľka dát, v ktorom môžete upraviť dáta grafu.
Data Ranges	Dátové oblasti
Data Labels for all Data Series	Popisy pre všetky dátové rady
Value as number	
Displays the absolute values of the data points.	Zobrazí absolútne hodnoty dátových bodov.
Value as percentage	
Displays the percentage of the data points in each column.	Zobrazí percentuálne hodnoty dátových bodov v každom stĺpci.
Category	
Shows the data point text labels.	Zobrazí popisy dátových bodov.
Legend key	
Displays the legend icons next to each data point label.	Zobrazí vedľa každého popisu dátového bodu ikonu z legendy.
Auto text wrap	Automaticky zalomiť text
Number format...	Formát čísla...
Opens a dialog to select the number format.	Otvorí dialóg pre výber formátu čísla.
Percentage format...	Percentuálny formát...
Opens a dialog to select the percentage format.	Otvorí dialóg pre výber formátu percent.
ABCD	ABCD
Number Format for Percentage Value	Formát čísel pre percentnú hodnotu
Series name	
Shows the data series name in the label.	
Text Attributes	Atribúty textu
Placement	Umiestnenie
Best fit	Najlepšie umiestnenie
Center	Na stred
Above	Nad
Top left	Nahor doľava
Left	Vľavo
Bottom left	Doľava dole
Below	Pod
Bottom right	Vpravo dole
Right	Vpravo
Top right	Nahor doprava
Inside	Vnútri
Outside	Zvonka
Near origin	Blízko počiatku
Selects the placement of data labels relative to the objects.	Vyberie relatívne umiestnenie popisov dát v objekte.
Separator	Oddeľovač
Space	Medzerník
Comma	Čiarka
Semicolon	Bodkočiarka
New line	Nový riadok
Period	Bodka
Selects the separator between multiple text strings for the same object.	Vyberie oddeľovač medzi viacnásobnými textovými reťazcami v rovnakom objekte.
Attribute Options	
Click in the dial to set the text orientation for the data labels.	Otočenie popisu dát nastavíte kliknutím na požadované miesto kruhovej stupnice.
Enter the counterclockwise rotation angle for the data labels.	Zadajte pre popisy dát uhol otočenia orientovaný proti smeru hodinových ručičiek.
Degrees	Stupňov
Text direction	Smer textu
Rotate Text	Otočiť text
Connect displaced data labels to data points	Prepojiť premiestnené popisy údajov s dátovými bodmi
Draws a line connecting the data labels to the data points	Nakreslí čiaru spájajúcu popisy údajov s dátovými bodmi
Leader Lines	Prepojovacie čiary
Opens the Data Labels dialog, which enables you to set the data labels.	
Opens the Data Labels dialog, which enables you to set the data labels.	Otvorí dialógové okno Popisy dát, ktorý umožňuje nastavenie popisu dát.
None	Nič
Does not show any error bars.	Nezobrazí žiadne chybové úsečky.
Constant Value	Konštantná hodnota
Displays constant values that you specify in the Parameters area.	Zobrazí konštantné hodnoty, ktoré určíte v oblasti Parametre.
Percentage	Percentuálne
Select a function to calculate the error bars.	Vyberte funkciu pre výpočet chybových čiar.
Standard Error	Štandardná chyba
Standard Deviation	Štandardná odchýlka
Variance	Rozptyl
Error Margin	Chybový pás
Cell Range	Oblasť buniek
Error Category	Chybová kategória
Positive and Negative	Kladné a záporné
Shows positive and negative error bars.	Ukáže kladné a záporné chybové čiary.
Positive	Kladné
Shows only positive error bars.	Ukáže iba kladné chybové čiary.
Negative	Záporné
Shows only negative error bars.	Ukáže iba záporné chybové čiary.
Error Indicator	Indikátor chyby
Positive (+)	Kladné (+)
Enter the value to add to the displayed value as the positive error value.	Vložte hodnotu na pripočítanie k zobrazenej hodnote ako kladnú chybovú hodnotu.
Select data range	Vybrať dátovú oblasť
Negative (-)	Záporné (-)
Enter the value to subtract from the displayed value as the negative error value.	Vložte hodnotu na odčítanie od zobrazenej hodnoty ako zápornú chybovú hodnotu.
Same value for both	Rovnaká hodnota pre obidva
Parameters	Parametre
Select Range for Positive Error Bars	Vyberte oblasť pre kladné chybové úsečky
Select Range for Negative Error Bars	Vyberte oblasť pre záporné chybové úsečky
Display legend	Zobraziť legendu
Top	Hore
Bottom	Dole
X axis	Os X
Displays the X axis as a line with subdivisions.	Zobrazí os X s delením.
Y axis	Os Y
Displays the Y axis as a line with subdivisions.	Zobrazí os Y s delením.
Z axis	Os Z
Displays the Z axis as a line with subdivisions.	Zobrazí os Z s delením.
Displays a secondary X axis in the chart.	Zobrazí v grafe sekundárnu os X.
Secondary Axes	Sekundárne osi
Specifies the axes to be displayed in the chart.	Určuje, ktoré osi sa majú v grafe zobraziť.
Adds gridlines to the X axis of the chart.	Pridá do grafu mriežku osi X.
Adds gridlines to the Y axis of the chart.	Pridá do grafu mriežku osi Y.
Adds gridlines to the Z axis of the chart.	Pridá do grafu mriežku osi Z.
